Timestamp,Age,Gender,Level Of Education ,State,Hobby,Life Satisfaction,Social Media Usage (hour/day),Lonelines Score
3/23/2024 1:22:06,21,Male,Undergratuate,Bihar,Listening Music,4,2,20
3/23/2024 1:23:54,21,Male,Undergratuate,Bihar,Music Listening,4,2,20
3/23/2024 1:53:39,21,Male,Postgraduate,Bihar ,Playing cricket ,0,2,10
3/23/2024 5:56:04,21,Male,Undergratuate,Uttarakhand ,Music listening ,4,2,10
3/23/2024 8:26:44,20,Male,Senior Secondary School,West Bengal ,Storytelling ,3,2,22
3/23/2024 8:46:08,20,Male,Undergratuate,West Bengal,"Writing, reading, sketching",4,4,23
3/23/2024 8:55:34,21,Male,Undergratuate,West Bengal ,Sleeping ,1,5,27
3/23/2024 8:56:30,21,Male,Undergratuate,West Bengal ,Sleeping ,0,5,27
3/23/2024 9:03:51,22,Male,Undergratuate,Uttar Pradesh ,Photography ,3,3,25
3/23/2024 9:14:53,21,Female,Undergratuate,Uttar Pradesh ,Book Reading ,3,3,25
3/23/2024 9:23:37,21,Female,Undergratuate,Bihar,Painting ,4,5,17
3/23/2024 9:33:29,22,Male,Undergratuate,West Bengal ,Chess,0,3,32
3/23/2024 9:36:23,20,Male,Undergratuate,Madhya pradesh ,Reading ,3,1,30
3/23/2024 10:22:35,21,Male,Undergratuate,Uttarakhand ,Reading,1,3,26
3/23/2024 11:22:26,21,Male,Postgraduate,Madhya Pradesh ,Learning new things ,5,2,32
3/23/2024 15:34:43,20,Male,Undergratuate,Telangana,Gaming,2,8,25
3/23/2024 17:12:21,22,Male,Undergratuate,Bhar ,Photography ,4,1,13
3/23/2024 18:04:35,21,Male,Undergratuate,Maharashtra ,Drawing,5,2,22
3/23/2024 22:11:39,21,Male,Undergratuate,Uttar Pradesh ,Poetry writing,5,5,19
3/23/2024 22:21:17,29,Male,Postgraduate,Uttar Pradesh ,Cricket ,4,6,24
3/23/2024 22:28:36,20,Male,Undergratuate,Uttar Pradesh,Cooking,4,2,13
3/24/2024 16:29:19,25,Male,Postgraduate,Uttar Pradesh,Cycling,3,6,18
3/24/2024 20:34:59,22,Female,Postgraduate,Bihar,Watching movies with maggie,4,2,14
3/24/2024 22:28:06,24,Male,Undergratuate,Bihar,Reading Books,5,2,16
3/24/2024 22:28:10,24,Male,Undergratuate,Bihar,Watching you tube,4,3,26
3/25/2024 2:17:07,26,Male,Postgraduate,Bihar ,Study,4,2,13
3/25/2024 22:46:53,21,Female,Undergratuate,Uttarpradesh ,Sketching ,3,4,21
3/26/2024 20:45:32,22,Female,Undergratuate,Bihar,Writing ,3,5,27
3/26/2024 22:00:22,21,Female,Undergratuate,Bihar ,Reading ,0,8,40
04-02-2024 18:12,20,Female,High School,Himachal Pradesh ,Badminton ,5,2,19
04-02-2024 18:17,22,Female,Undergratuate,Dhanbad ,Sleep ,3,3,20
04-02-2024 19:19,20,Female,Undergratuate,Haryana ,Dancing ,4,5,20
04-02-2024 19:33,22,Male,Undergratuate,Uttar Pradesh ,Art,4,2,17
04-02-2024 21:46,20,Female,Undergratuate,Uttar Pradesh,Painting,5,2,28
04-02-2024 22:52,20,Female,Undergratuate,Bihar,Story Writing,3,3,25
04-02-2024 23:02,20,Female,Undergratuate,Jharkhand,Singing,4,6,24
04-03-2024 00:53,22,Male,Undergratuate,UP,Listening Music,2,2,36
04-03-2024 09:45,22,Male,Undergratuate,Rajasthan ,Painting ,2,4,34
04-03-2024 18:43,26,Male,Postgraduate,Uttar Pradesh ,Writing ,4,1,12
04-03-2024 19:06,44,Female,Postgraduate,Uttar Pradesh ,Reading book,5,4,10
04-03-2024 19:07,19,Female,Senior Secondary School,Uttar Pradesh ,Reading ,3,2,10
04-03-2024 19:40,51,Male,Undergratuate,UP,Reading,4,5,20
04-03-2024 19:41,38,Male,Postgraduate,Uttar pradesh,"Listening music, Gardening",5,2.5,10
04-03-2024 19:42,38,Male,Postgraduate,U P,Reading,4,3.5,10
04-03-2024 21:14,33,Female,Postgraduate,Up,Cooking ,5,7,20
04-03-2024 21:22,18,Male,Senior Secondary School,Uttar Pradesh ,Praying,5,1.5,14
04-03-2024 22:18,42,Female,Postgraduate,Uttar pradesh,Cooking,5,2,19
04-03-2024 22:35,64,Female,High School,Uttar Pradesh ,Cleaning,5,1,24
04-03-2024 23:36,38,Female,Postgraduate,Uttar pradesh,Cooking,5,1,23
04-04-2024 08:11,22,Female,Undergratuate,it increases loneliness and reduces productivity ,dancing and scrolling ,2,8.5,29
04-04-2024 14:15,19,Female,Undergratuate,Uttar Pradesh ,Watching kdrama,2,15,10
04-04-2024 20:23,38,Male,Senior Secondary School,Uttar Pradesh,Swimming,4,2.5,17
04-04-2024 20:26,38,Male,Postgraduate,Uttar pradesh,Studying,5,0.5,26
04-05-2024 01:24,20,Female,Undergratuate,UTTARAKHAND,Dancing,4,1,21
04-10-2024 20:06,21,Male,Undergratuate,Telangana ,"Watching Cricket, Knowing Geopolitics ",1,10,37
04-10-2024 20:15,20,Male,Undergratuate,Andhra Pradesh ,"Playing games, watching movies",4,2,30
04-10-2024 21:12,21,Male,Undergratuate,Gujarat,Playing football,3,3,26
4/14/2024 18:46:58,21,Male,Undergratuate,Jharkhand ,Singing ,2,2,20
4/14/2024 18:48:42,22,Female,Undergratuate,Maharashtra ,Dancing,2,7,32
4/14/2024 18:50:09,19,Female,Undergratuate,Jharkhand ,Singing ,5,3,17
4/14/2024 18:50:45,20,Female,Undergratuate,Jharkhand ,Badminton ,3,6,32
4/14/2024 18:52:07,20,Female,Undergratuate,Rajasthan ,Book reading ,5,5,37
4/14/2024 18:54:46,21,Male,Undergratuate,Jharkhand ,3d modelling ,3,5.5,24
4/14/2024 18:55:21,18,Female,Undergratuate,Bihar,Poetry,2,2,25
4/14/2024 18:55:53,21,Female,Undergratuate,Madhya Pradesh ,Dancing ,3,6,29
4/14/2024 18:56:52,21,Female,Undergratuate,Jharkhand ,Reading ,3,6.5,10
4/14/2024 18:56:57,20,Male,Undergratuate,Telangana ,Drawing ,2,3,22
4/14/2024 19:23:06,22,Female,Undergratuate,UP,Dancing,4,1.5,29
4/14/2024 19:24:31,18,Female,Undergratuate,Andhrapradesh,Drawing,1,3,28
4/14/2024 19:33:32,20,Male,Undergratuate,Odisha ,Playing chess ,3,5.5,24
4/14/2024 19:36:09,21,Female,Senior Secondary School,Jharkhand ,Painting ,4,2.5,22
4/14/2024 20:11:57,21,Female,Undergratuate,Bihar,Writing,2,2,33
4/14/2024 20:44:45,19,Male,Undergratuate,Gujarat ,Drawing,5,3,20
4/14/2024 22:30:46,21,Female,Undergratuate,Jharkhand ,Painting ,4,2,25
4/15/2024 21:28:16,21,Male,Undergratuate,Bihar,Treading,4,2,18
4/17/2024 22:36:01,21,Male,Undergratuate,Up,Singing,2,4,30
4/17/2024 22:43:47,21,Male,Undergratuate,U P,Writing,4,2,11
4/17/2024 23:08:05,20,Female,Senior Secondary School,Uttar Pradesh ,Dancing ,5,2,23
4/17/2024 23:16:31,20,Male,Undergratuate,Student,Writing Poetry,4,4,30
4/17/2024 23:31:58,18,Male,Undergratuate,Uttar Pradesh ,Playing,3,4,23
4/18/2024 0:31:37,19,Male,Undergratuate,Uttar Pradesh ,Drawing,3,2,22
4/18/2024 0:34:15,20,Male,Senior Secondary School,Up,Music,3,4,10
4/18/2024 10:19:09,23,Female,Undergratuate,Ladakh ,Photography ,3,7,33
4/18/2024 18:29:15,19,Female,Undergratuate,Telangana ,Drama,3,2,21
